file,name,product_code,label,img_count,heading_count,text_block_count,has_wrapper
C:\dev_win\naver_crawler\debug\content_outputs\9951954691_cleaned_20251113_195919.html,9951954691_cleaned_20251113_195919.html,9951954691,cleaned,39,0,1,True
C:\dev_win\naver_crawler\debug\content_outputs\9951954691_cleaned_20251113_232622.html,9951954691_cleaned_20251113_232622.html,9951954691,cleaned,39,0,1,True
C:\dev_win\naver_crawler\debug\content_outputs\9951954708_cleaned_20251113_195843.html,9951954708_cleaned_20251113_195843.html,9951954708,cleaned,40,0,5,True
C:\dev_win\naver_crawler\debug\content_outputs\9951954708_cleaned_20251113_232516.html,9951954708_cleaned_20251113_232516.html,9951954708,cleaned,40,0,5,True
C:\dev_win\naver_crawler\debug\content_outputs\9951955250_cleaned_20251113_195734.html,9951955250_cleaned_20251113_195734.html,9951955250,cleaned,28,0,13,True
C:\dev_win\naver_crawler\debug\content_outputs\9951955250_cleaned_20251113_232307.html,9951955250_cleaned_20251113_232307.html,9951955250,cleaned,28,0,13,True
C:\dev_win\naver_crawler\debug\content_outputs\9951955443_cleaned_20251113_195658.html,9951955443_cleaned_20251113_195658.html,9951955443,cleaned,12,0,3,True
C:\dev_win\naver_crawler\debug\content_outputs\9951955443_cleaned_20251113_232201.html,9951955443_cleaned_20251113_232201.html,9951955443,cleaned,12,0,3,True
C:\dev_win\naver_crawler\debug\content_outputs\9955848346_cleaned_20251113_195622.html,9955848346_cleaned_20251113_195622.html,9955848346,cleaned,71,0,27,True
C:\dev_win\naver_crawler\debug\content_outputs\9955848346_cleaned_20251113_232056.html,9955848346_cleaned_20251113_232056.html,9955848346,cleaned,71,0,27,True
C:\dev_win\naver_crawler\debug\content_outputs\9955848926_cleaned_20251113_195546.html,9955848926_cleaned_20251113_195546.html,9955848926,cleaned,13,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9955848926_cleaned_20251113_231950.html,9955848926_cleaned_20251113_231950.html,9955848926,cleaned,13,0,4,True
C:\dev_win\naver_crawler\debug\content_outputs\9955849280_cleaned_20251113_195437.html,9955849280_cleaned_20251113_195437.html,9955849280,cleaned,17,0,3,True
C:\dev_win\naver_crawler\debug\content_outputs\9955849280_cleaned_20251113_231741.html,9955849280_cleaned_20251113_231741.html,9955849280,cleaned,17,0,3,True
